resource_id,title,provider,domain,skill_tags,difficulty,duration_hours,format,cost_type,url
R4195,Sustainability and Climate Change: An Introduction to Low Carbon Road Transport,Future Learn,Information Technology,,Beginner,4.0,Video,Paid,https://www.futurelearn.com/courses/introduction-to-low-emission-road-transport
R4167,Communicating Climate Change for Effective Climate Action,Future Learn,Sustainability,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/communicating-climate-change-raising-engagement-for-climate-action
R1929,Comparative Health Systems,Coursera,Health,organizational strategy|health system analysis|world health organization analysis|organizational behavior|,Intermediate,10.0,Video,Paid,https://www.coursera.org/learn/comparative-health-systems?specialization=healthcare-law
R1062,Google Drive,Coursera,Information Technology,,Intermediate,2.0,Video,Paid,https://www.coursera.org/learn/google-drive?specialization=getting-started-with-google-workspace
R737,Data Science Methodology,Coursera,Data Science,data science|methodology|crisp-dm|data analysis|data mining|,Intermediate,8.0,Video,Paid,https://www.coursera.org/learn/data-science-methodology
R1384,Digital Media and Marketing Principles,Coursera,Business,digital marketing|marketing channel|social media|mobile marketing|integrated marketing communications|,Intermediate,20.0,Video,Paid,https://www.coursera.org/learn/marketing-channels?specialization=digital-marketing
R743,Introduction to Front-End Development,Coursera,Computer Science,web development tools|user interface|front-end web development|html and css|responsive web design|,Beginner,18.0,Video,Paid,https://www.coursera.org/learn/introduction-to-front-end-development
R504,Introduction to Statistics,Coursera,Data Science,,Beginner,14.0,Video,Paid,https://www.coursera.org/learn/stanford-statistics
R234,Cybersecurity Specialization,Coursera,Computer Science,software testing| cryptography| usability| penetration test| cybersecurity| privacy| user interface| fuzz testing| buffer overflow| sql injection| number theory| public-key cryptography| ,Intermediate,8.0,Video,Paid,https://www.coursera.org/specializations/cyber-security
R5457,Microsoft Dynamics 365 Fundamentals,Future Learn,General,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/cloudswyft-msft-microsoft-dynamics-365-fund
R6823,Agriculture and Nutrition,Future Learn,Information Technology,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/agriculture-and-nutrition
R5126,Presenting Your Work with Impact: Presentation Skills Training,Future Learn,Information Technology,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/presenting-your-work-with-impact-sc
R7196,From Crime to Punishment: an Introduction to Criminal Justice,Future Learn,General,,Beginner,4.0,Video,Paid,https://www.futurelearn.com/courses/crime-to-punishment
R4569,Spatial Circularity Strategies 3: Urban Metabolism and Methods for Systemic Analysis,Future Learn,Information Technology,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/circular-regions-3-urban-metabolism-and-methods-for-systemic-analysis
R5876,Heart Health: A Beginner's Guide to Cardiovascular Disease,Future Learn,Health,,Beginner,4.0,Video,Paid,https://www.futurelearn.com/courses/heart-health
R2405,Visual Elements of User Interface Design,Coursera,Arts and Humanities,user interface design (ui design)|user experience (ux)|graphic design|,Intermediate,16.0,Video,Paid,https://www.coursera.org/learn/visual-elements-user-interface-design?specialization=ui-ux-design
R5413,Fashion Management: Products and Collections,Future Learn,General,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/products-collections
R2878,How to Make a Platformer Using libGDX,Udacity,General,,Intermediate,8.0,Video,Paid,https://www.udacity.com/course/how-to-make-a-platformer-using-libgdx--ud406
R2524,Qualitative Research Methods,Coursera,Social Sciences,,Intermediate,23.0,Video,Paid,https://www.coursera.org/learn/qualitative-methods?specialization=social-science
R3051,Expand Your Knowledge of Artificial Intelligence,Udacity,Information Technology, optimization algorithms| minimax search| search algorithms| constraint propagation| constraint satisfaction problems| bayesian networks| likelihood function| first order logic| propositional logic| automated planning problem definition| automated planning heuristics| multi-agent training| time-series analysis with ml,Intermediate,3.0,Video,Paid,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898
R3261,Intercultural Communication: Dynamics of cultural identities in global interaction,Future Learn,Information Technology,,Intermediate,5.0,Video,Paid,https://www.futurelearn.com/courses/intercultural-communication
R5304,Design and Create Custom Dashboards in Excel,Future Learn,General,,Intermediate,6.0,Video,Paid,https://www.futurelearn.com/courses/excel-advanced-data-visualization-and-dashboard-creation
R2772,Introduction to Cloud Computing,Coursera,Information Technology,cloud native|devops|iaas paas saas|hybrid multicloud|cloud computing|,Beginner,12.0,Video,Paid,https://www.coursera.org/learn/introduction-to-cloud?specialization=devops-cloud-and-agile-foundations
R4149,Organising for the Sustainable Development Goals (SDGs),Future Learn,General,,Intermediate,7.0,Video,Paid,https://www.futurelearn.com/courses/organising-for-sustainable-development-goals
R4129,Working with Translation: Theory and Practice,Future Learn,Information Technology,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/working-with-translation
R4380,Tracking Complex Conflicts,Future Learn,General,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/tracking-complex-conflicts
R3863,Dynamics 365: Customer Engagement for Sales,Future Learn,General,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/customer-engagement-for-sales-sc
R5547,Introduction to Humanitarian Logistics,Future Learn,Information Technology,,Beginner,2.0,Video,Paid,https://www.futurelearn.com/courses/humanitarian-logistics
R1173,Cloud Data Engineering,Coursera,Information Technology,,Intermediate,17.0,Video,Paid,https://www.coursera.org/learn/cloud-data-engineering-duke?specialization=building-cloud-computing-solutions-at-scale
R5850,Cancer Survivorship for Primary Care Practitioners,Future Learn,Information Technology,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/cancer-survivorship
R6913,The Resistant Mosquito: Staying Ahead of the Game in the Fight against Malaria,Future Learn,Information Technology,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/the-resistant-mosquito-staying-ahead-of-the-game-in-the-fight-against-malaria
R7237,"Why Religion Matters: Religious Literacy, Culture and Diversity",Future Learn,Information Technology,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/why-religion-matters
R8049,CISA Certification Training Course,Simplilearn,General,,Intermediate,,Video,Paid,https://www.simplilearn.com/cyber-security/cisa-certification-training?tag=
R2603,Camera Control,Coursera,Arts and Humanities,,Intermediate,13.0,Video,Paid,https://www.coursera.org/learn/camera-control?specialization=photography-basics
R5157,Introduction to Marketing: Understanding your Customers,Future Learn,General,,Beginner,2.0,Video,Paid,https://www.futurelearn.com/courses/understanding-your-customers-sc
R4280,Fashion Values: Society,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/fashion-values-society
R3662,UX Design Fundamentals: Creating Business Outcomes,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/ux-design-fundamentals-management-business-model
R5109,Evidence and Data Collection for Problem Solving,Future Learn,Data Science,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/evidence-and-data-collection-for-problem-solving-sc
R3784,Introduction to Microsoft Azure AI Fundamentals,Future Learn,General,,Beginner,5.0,Video,Paid,https://www.futurelearn.com/courses/ms-azure-ai-fundamentals
R4454,Sport and Exercise for Brain Health,Future Learn,Health,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/sport-and-exercise-for-brain-health
R6348,R for Regression and Machine Learning in Investment,Future Learn,Data Science,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/using-r-for-regression-and-machine-learning-in-investment
R7429,An Introduction to Machine Learning in Quantitative Finance,Future Learn,Data Science,,Beginner,4.0,Video,Paid,https://www.futurelearn.com/courses/an-introduction-to-machine-learning-in-quantitative-finance
R7763,Mastering Classroom Management in English Language Teaching,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/mastering-classroom-management-in-english-language-teaching
R3687,Transgender Healthcare: Caring for Trans Patients,Future Learn,Health,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/transgender-in-healthcare
R4487,How To Support Young People Living with Parental Mental Illness,Future Learn,Information Technology,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/how-to-support-young-people-living-with-parental-mental-illness
R4476,Sports Performance: Training the Body for Sport ,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/sports-performance-training-the-body-for-sport
R6465,ISO 27001: ISO Implementation Practitioner,Future Learn,Information Technology,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/implementing-iso27001
R6866,Climate Literacy and Action for All,Future Learn,Information Technology,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/climate-literacy-and-action-for-all
R7502,English for STEM: Understanding Maths Vocabulary,Future Learn,General,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/english-for-stem-understanding-maths-vocabulary
R2132,Social Entrepreneurship,Coursera,Business,,Intermediate,6.0,Video,Paid,https://www.coursera.org/learn/wharton-social-entrepreneurship?specialization=wharton-global-business-strategy
R3814,Introduction to Artificial Intelligence and Machine Learning,Future Learn,Data Science,,Beginner,3.0,Video,Paid,https://www.futurelearn.com/courses/introduction-to-ai
